56 Jefferson St Apt 4A,Hoboken,2,2,1150,3100,Yes,1,1.56
380 Newark Ave Apt 5C,Hoboken,2,2,N/A,3400,No,1,1.6
712 Washington St Unit 3,Hoboken,1,1,900,2500,Yes,2,0.55
360 14th St Unit 2,Hoboken,1,1,N/A,2450,Yes,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1600,4065,No,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1600,4065,No,2,NA
400 Monroe St Unit 3R,Hoboken,1,1,N/A,1375,No,1,NA
358 3rd St Apt 3R,Hoboken,1,1,836,2000,No,2,NA
1107 Willow Ave Apt 1,Hoboken,2,2,1150,3550,Yes,1,0.81
252 1st St # B,Hoboken,2,1,925,2800,Yes,1,NA
309 Monroe St Apt 6,Hoboken,1,1,650,2000,Yes,1,NA
333 River St,Hoboken,1,1,870,2810,Yes,1,0.97
531 Jefferson St Unit 9,Hoboken,2,2,900,3000,Yes,2,1.56
610 Newark St Apt 5A,Hoboken,2,2,1150,3000,Yes,2,1.16
811 Willow Ave Apt 3,Hoboken,2,1.5,870,2700,Yes,2,0.74
811 Park Ave Unit 3R,Hoboken,2,1,N/A,2500,No,2,0.65
1114 Park Ave Apt 5R,Hoboken,2,1,900,2600,Yes,2,0.72
334 Garden St Apt 4N,Hoboken,1,1,650,1900,Yes,2,1.32
1319 Washington St Apt 3L,Hoboken,2,1,900,2450,Yes,1,0.75
1037 Washington St Apt 1,Hoboken,2,2,925,2600,Yes,1,0.31
1319 Washington St Apt 3R,Hoboken,2,1,925,2450,Yes,1,0.75
63 Jefferson St Unit 3,Hoboken,1,1,836,2200,Yes,2,1.39
831 Hudson St Apt 1,Hoboken,0,1,500,1575,Yes,2,0.31
523 Adam St Unit 4TH,Hoboken,1,1,925,2295,Yes,2,NA
742 Park Ave Apt 5,Hoboken,2,2,1150,3300,Yes,1,0.81
500 2nd St Apt 3L,Hoboken,2,1,925,2550,No,1,NA
713 Willow Ave # 5G,Hoboken,1,1,900,2200,No,1,0.9
604 Adams St Apt 3,Hoboken,2,1,975,2800,No,1,1.31
520 Hudson St # 1B,Hoboken,2,1,1000,2950,No,1,0.79
300 Hudson St Apt 2,Hoboken,1,1,870,2550,Yes,1,1.06
402 Grand St Apt 4N,Hoboken,1,1,500,2000,Yes,1,1.51
500 Jefferson St Unit 6,Hoboken,2,2,1600,4200,Yes,2,1.56
82 Jackson St Apt A6,Hoboken,1,1,N/A,379900,No,2,1.32
404 Monroe St Apt 4,Hoboken,2,2,1150,2950,Yes,2,NA
1109 Park Ave,Hoboken,4,2.5,1825,6950,No,2,0.72
414 Madison St Apt 3F,Hoboken,1,1,N/A,2100,Yes,2,1.76
1500 Washington St Apt 11J,Hoboken,1,1,870,2750,No,2,1.05
104 Jefferson St Apt 4R,Hoboken,1,1,500,1650,Yes,1,2.13
100 Park Ave Apt 3,Hoboken,2,1,925,2650,No,2,1.7
222 Grand St Apt 1J,Hoboken,2,2,925,3000,Yes,2,1.82
132 Jefferson St Apt 1,Hoboken,4,2,N/A,3700,Yes,2,2.13
218 Washington St Apt 2B,Hoboken,1,1,870,2575,Yes,2,1.29
1405 Clinton St Apt 601,Hoboken,2,2,1600,3950,Yes,2,1.33
41 1st St Apt 3C,Hoboken,2,1,836,2900,Yes,1,NA
834 Hudson Ave Apt 2C,Hoboken,1,1,975,2450,Yes,1,0.31
1038 Park Ave Unit 2,Hoboken,1,1,836,2450,Yes,2,0.57
500 Jefferson St Unit 3,Hoboken,2,2,1150,3200,Yes,2,1.56
76 Jackson St Unit 3F,Hoboken,1,1,975,2470,Yes,2,1.48
1125 Maxwell Ln Apt 619,Hoboken,1,1,836,3100,Yes,2,NA
56 Jefferson St Apt 4A,Hoboken,2,2,1150,3100,Yes,1,1.56
380 Newark Ave Apt 5C,Hoboken,2,2,1150,3400,Yes,1,1.6
712 Washington St Unit 3,Hoboken,1,1,1000,2500,Yes,2,0.55
360 14th St Unit 2,Hoboken,1,1,900,2450,No,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1600,4065,No,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1600,4065,No,2,NA
400 Monroe St Unit 3R,Hoboken,1,1,500,1375,No,1,NA
358 3rd St Apt 3R,Hoboken,1,1,650,2000,No,2,NA
1107 Willow Ave Apt 1,Hoboken,2,2,1150,3550,No,1,0.81
252 1st St # B,Hoboken,2,1,925,2800,Yes,1,NA
309 Monroe St Apt 6,Hoboken,1,1,609,2000,Yes,1,NA
333 River St,Hoboken,1,1,738,2810,Yes,1,0.97
531 Jefferson St Unit 9,Hoboken,2,2,1150,3000,Yes,2,1.56
610 Newark St Apt 5A,Hoboken,2,2,1150,3000,No,2,1.16
811 Willow Ave Apt 3,Hoboken,2,1.5,N/A,2700,Yes,2,0.74
811 Park Ave Unit 3R,Hoboken,2,1,836,2500,Yes,2,0.65
1114 Park Ave Apt 5R,Hoboken,2,1,870,2600,No,2,0.72
334 Garden St Apt 4N,Hoboken,1,1,N/A,1900,Yes,2,1.32
1319 Washington St Apt 3L,Hoboken,2,1,975,2450,Yes,1,0.75
1037 Washington St Apt 1,Hoboken,2,2,900,2600,Yes,1,0.31
1319 Washington St Apt 3R,Hoboken,2,1,N/A,2450,No,1,0.75
63 Jefferson St Unit 3,Hoboken,1,1,836,2200,Yes,2,1.39
831 Hudson St Apt 1,Hoboken,0,1,450,1575,No,2,0.31
523 Adam St Unit 4TH,Hoboken,1,1,975,2295,Yes,2,NA
742 Park Ave Apt 5,Hoboken,2,2,1150,3300,No,1,0.81
500 2nd St Apt 3L,Hoboken,2,1,925,2550,Yes,1,NA
713 Willow Ave # 5G,Hoboken,1,1,836,2200,No,1,0.9
604 Adams St Apt 3,Hoboken,2,1,900,2800,Yes,1,1.31
520 Hudson St # 1B,Hoboken,2,1,836,2950,Yes,1,0.79
300 Hudson St Apt 2,Hoboken,1,1,870,2550,No,1,1.06
402 Grand St Apt 4N,Hoboken,1,1,500,2000,No,1,1.51
225 Grand St Apt 2B,Hoboken,2,2,836,3000,No,2,1.82
1125 Maxwell Ln Apt 525,Hoboken,2,2.5,1600,5000,No,2,NA
72 Garden St Apt 7,Hoboken,2,2,900,2850,Yes,2,0.73
82 Clinton St Apt 4G,Hoboken,2,2,1150,3300,Yes,2,0.83
1500 Washington St Apt 9K,Hoboken,0,1,1150,2900,No,2,1.05
1021 Park Ave Apt 5L,Hoboken,2,1,N/A,1950,Yes,2,0.57
300 Newark St Apt 4M,Hoboken,1,1,836,2350,Yes,2,1.6
632 Park Ave Apt 2,Hoboken,2,1,836,2350,Yes,2,0.96
808 Washington St Unit 5,Hoboken,2,2,1700,4500,Yes,2,0.39
808 Washington St Apt 4,Hoboken,2,2,1700,4500,Yes,2,0.39
808 Washington St Apt 3,Hoboken,2,2,1700,4500,No,2,0.39
808 Washington St Apt 2,Hoboken,2,2,1700,4500,Yes,1,0.39
71 Grand St Unit 5D,Hoboken,2,2,1150,3400,Yes,1,1.08
632 Park Ave Apt 2,Hoboken,2,1,925,2350,Yes,2,0.96
511 Madison St Apt 302,Hoboken,2,2,1200,3900,Yes,2,1.65
380 Newark St Unit 5D,Hoboken,2,2,1150,3400,Yes,2,1.6
223 Park Ave Apt 3,Hoboken,2,2,1600,4000,Yes,2,1.55
225 River St Apt 2501,Hoboken,2,2.5,N/A,10000,Yes,2,1.12
100 Marshall St Apt 410,Hoboken,2,2,900,2900,Yes,2,1.27
807 Clinton St Apt 5C,Hoboken,2,2,975,3075,Yes,2,0.83
1425 Garden St Apt 303,Hoboken,1,1.5,1150,3500,No,2,1.07
