location,bedroom,bathroom,square,rent,pet,style,distance,average
Jersey City,3,2,515,1950,Yes,B,0<d<2,GOOD
Jersey City,2,1,435,1575,No,B,0<d<2,GOOD
Jersey City,2,1,383,1725,No,B,0<d<2,GOOD
Jersey City,2,1,650,1800,No,B,0<d<2,GOOD
Jersey City,2,1,455,1850,No,B,0<d<2,GOOD
Jersey City,2,1,1000,4590,Yes,A,0<d<2,BAD
Jersey City,1,1,555,2300,Yes,B,0<d<2,BAD
Hoboken,4,2,1700,"3,700",Yes,B,2<d<4,GOOD
Hoboken,4,2,"1,200","3,700",No,B,2<d<4,GOOD
Hoboken,4,2,N/A,"3,700",Yes,B,2<d<4,GOOD
Hoboken,1,1,550,"1,650",Yes,A,2<d<4,BAD
Hoboken,1,1,500,"1,650",No,A,2<d<4,BAD
Hoboken,1,1,500,"1,650",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","2,450",Yes,B,2<d<4,GOOD
Jersey City,3,2,666,2600,Yes,B,2<d<4,GOOD
Hoboken,1,1,836,"2,400",No,B,2<d<4,BAD
Jersey City,3,2,565,2500,Yes,B,2<d<4,GOOD
Jersey City,2,1,450,1850,No,B,2<d<4,GOOD
Jersey City,2,1,455,1850,No,B,2<d<4,GOOD
Jersey City,2,1,432,1700,No,B,2<d<4,GOOD
Jersey City,2,1,282,1750,No,B,2<d<4,GOOD
Jersey City,2,1,550,2025,Yes,B,2<d<4,GOOD
Jersey City,2,2,304,2100,No,A,2<d<4,GOOD
Jersey City,1,1,414,1650,No,B,2<d<4,BAD
Jersey City,1,1,434,1800,No,B,2<d<4,BAD
Weehawken,3,2,N/A,"4,675",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,850",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,850",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,850",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,850",Yes,A,2<d<4,BAD
Jersey City,2,1,398,1400,No,B,2<d<4,GOOD
Jersey City,1,1,350,1400,No,B,2<d<4,GOOD
Hoboken,2,1,870,"2,450",Yes,A,2<d<4,GOOD
Hoboken,2,2,1200,"3,200",No,B,2<d<4,BAD
Weehawken,3,2,624,"2,005",No,A,2<d<4,GOOD
Weehawken,3,2,624,"2,005",No,A,2<d<4,GOOD
Weehawken,3,2,624,"2,005",No,A,2<d<4,GOOD
Weehawken,3,1,510,"2,187",Yes,A,2<d<4,GOOD
Weehawken,3,1,510,"2,849",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,450",No,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,550",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"4,595",Yes,A,2<d<4,BAD
Weehawken,3,2,1275,"4,595",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,670",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,679",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,750",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,750",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,788",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,875",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,875",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,887",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",No,A,2<d<4,BAD
Weehawken,3,2,900,"4,925",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,950",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,955",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,955",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,995",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,995",Yes,A,2<d<4,BAD
Weehawken,3,3,"1,214","4,999",No,A,2<d<4,BAD
Weehawken,2,2,1275,"3,365",Yes,A,2<d<4,BAD
